x1_input,x2_input,f_values_target
-1.000000000000000000e+01,-1.000000000000000000e+01,7.878776771141702966e+02
-9.899497487437185939e+00,-1.000000000000000000e+01,8.180576828868747725e+02
-9.798994974874373654e+00,-1.000000000000000000e+01,7.972649544045234506e+02
-9.698492462311556039e+00,-1.000000000000000000e+01,7.374711302510914948e+02
-9.597989949748743754e+00,-1.000000000000000000e+01,7.512378663698966648e+02
-9.497487437185929693e+00,-1.000000000000000000e+01,7.922996624496323648e+02
-9.396984924623117408e+00,-1.000000000000000000e+01,7.671599913197050000e+02
-9.296482412060301570e+00,-1.000000000000000000e+01,7.217279416461720984e+02
-9.195979899497487509e+00,-1.000000000000000000e+01,7.801851080883352552e+02
-9.095477386934671671e+00,-1.000000000000000000e+01,6.691351271999953951e+02
-8.994974874371859386e+00,-1.000000000000000000e+01,6.726557535647713166e+02
-8.894472361809045324e+00,-1.000000000000000000e+01,6.422674357058118630e+02
-8.793969849246231263e+00,-1.000000000000000000e+01,7.011714265814788405e+02
-8.693467336683417201e+00,-1.000000000000000000e+01,6.587676811646658734e+02
-8.592964824120603140e+00,-1.000000000000000000e+01,6.426304529144077833e+02
-8.492462311557789079e+00,-1.000000000000000000e+01,6.440225316842725078e+02
-8.391959798994975017e+00,-1.000000000000000000e+01,6.873776548982677923e+02
-8.291457286432160956e+00,-1.000000000000000000e+01,5.983254746659547436e+02
-8.190954773869346894e+00,-1.000000000000000000e+01,6.576764939803198331e+02
-8.090452261306532833e+00,-1.000000000000000000e+01,6.199378286721988616e+02
-7.989949748743718771e+00,-1.000000000000000000e+01,6.264630292946558257e+02
-7.889447236180903822e+00,-1.000000000000000000e+01,6.118295073398584236e+02
-7.788944723618091537e+00,-1.000000000000000000e+01,5.950160146944284634e+02
-7.688442211055276587e+00,-1.000000000000000000e+01,5.679113541573869952e+02
-7.587939698492462526e+00,-1.000000000000000000e+01,5.734766129051104144e+02
-7.487437185929647576e+00,-1.000000000000000000e+01,5.905776489423050180e+02
-7.386934673366835291e+00,-1.000000000000000000e+01,5.290239586619250076e+02
-7.286432160804021230e+00,-1.000000000000000000e+01,5.320900188885109401e+02
-7.185929648241206280e+00,-1.000000000000000000e+01,5.523827470927916465e+02
-7.085427135678392219e+00,-1.000000000000000000e+01,5.369969252827014543e+02
-6.984924623115578157e+00,-1.000000000000000000e+01,5.780037100494356537e+02
-6.884422110552764096e+00,-1.000000000000000000e+01,4.887645064873294132e+02
-6.783919597989950034e+00,-1.000000000000000000e+01,4.916519885439710151e+02
-6.683417085427135973e+00,-1.000000000000000000e+01,5.065593607368879248e+02
-6.582914572864321912e+00,-1.000000000000000000e+01,5.180998950894144173e+02
-6.482412060301507850e+00,-1.000000000000000000e+01,4.713013734666441792e+02
-6.381909547738693789e+00,-1.000000000000000000e+01,5.015425791329224126e+02
-6.281407035175879727e+00,-1.000000000000000000e+01,4.688790776495019941e+02
-6.180904522613065666e+00,-1.000000000000000000e+01,4.802551742034369227e+02
-6.080402010050251604e+00,-1.000000000000000000e+01,4.716184839939106155e+02
-5.979899497487436655e+00,-1.000000000000000000e+01,4.565271514096257306e+02
-5.879396984924622593e+00,-1.000000000000000000e+01,4.673715018269977577e+02
-5.778894472361808532e+00,-1.000000000000000000e+01,4.987685638736417104e+02
-5.678391959798994471e+00,-1.000000000000000000e+01,4.153612556157123095e+02
-5.577889447236180409e+00,-1.000000000000000000e+01,4.234302817808300006e+02
-5.477386934673366348e+00,-1.000000000000000000e+01,4.502010239173953323e+02
-5.376884422110552286e+00,-1.000000000000000000e+01,4.391439524740134175e+02
-5.276381909547738225e+00,-1.000000000000000000e+01,3.889639255026065143e+02
-5.175879396984924163e+00,-1.000000000000000000e+01,4.202837333343319415e+02
-5.075376884422110102e+00,-1.000000000000000000e+01,4.135919329602350558e+02
-4.974874371859296041e+00,-1.000000000000000000e+01,3.991544379089479548e+02
-4.874371859296481979e+00,-1.000000000000000000e+01,3.890192187477272228e+02
-4.773869346733667918e+00,-1.000000000000000000e+01,3.856041555122577051e+02
-4.673366834170853856e+00,-1.000000000000000000e+01,4.032308164436851712e+02
-4.572864321608039795e+00,-1.000000000000000000e+01,4.069720358450431377e+02
-4.472361809045225733e+00,-1.000000000000000000e+01,4.039644289428422326e+02
-4.371859296482410784e+00,-1.000000000000000000e+01,3.975685805779917814e+02
-4.271356783919597611e+00,-1.000000000000000000e+01,3.880861769694697045e+02
-4.170854271356783549e+00,-1.000000000000000000e+01,3.655032866291950313e+02
-4.070351758793969488e+00,-1.000000000000000000e+01,3.525880747554810455e+02
-3.969849246231154982e+00,-1.000000000000000000e+01,3.422333349646642660e+02
-3.869346733668341809e+00,-1.000000000000000000e+01,3.690382785808747030e+02
-3.768844221105527303e+00,-1.000000000000000000e+01,3.871164192540965701e+02
-3.668341708542713686e+00,-1.000000000000000000e+01,3.420220387383964180e+02
-3.567839195979899181e+00,-1.000000000000000000e+01,3.393503083207724558e+02
-3.467336683417085119e+00,-1.000000000000000000e+01,3.356104562507416063e+02
-3.366834170854271058e+00,-1.000000000000000000e+01,3.398167296869063989e+02
-3.266331658291456996e+00,-1.000000000000000000e+01,3.100760046038161022e+02
-3.165829145728642935e+00,-1.000000000000000000e+01,3.325063989794957706e+02
-3.065326633165828873e+00,-1.000000000000000000e+01,3.451111283169919375e+02
-2.964824120603014812e+00,-1.000000000000000000e+01,3.105389669721537871e+02
-2.864321608040200751e+00,-1.000000000000000000e+01,3.400973314538277350e+02
-2.763819095477386245e+00,-1.000000000000000000e+01,3.252702755869541988e+02
-2.663316582914572628e+00,-1.000000000000000000e+01,3.225481312128313220e+02
-2.562814070351758566e+00,-1.000000000000000000e+01,3.090678456852091927e+02
-2.462311557788944505e+00,-1.000000000000000000e+01,3.008310176713141004e+02
-2.361809045226130443e+00,-1.000000000000000000e+01,3.150563835821545808e+02
-2.261306532663316382e+00,-1.000000000000000000e+01,3.047939996220944749e+02
-2.160804020100502321e+00,-1.000000000000000000e+01,3.104764059059839383e+02
-2.060301507537687815e+00,-1.000000000000000000e+01,3.259207048366714616e+02
-1.959798994974873310e+00,-1.000000000000000000e+01,2.654003169403030142e+02
-1.859296482412059248e+00,-1.000000000000000000e+01,2.973380400473203622e+02
-1.758793969849245187e+00,-1.000000000000000000e+01,2.760865046220868066e+02
-1.658291457286431125e+00,-1.000000000000000000e+01,3.027240476575383923e+02
-1.557788944723617064e+00,-1.000000000000000000e+01,2.968989338379048490e+02
-1.457286432160803002e+00,-1.000000000000000000e+01,2.910851947436291312e+02
-1.356783919597988719e+00,-1.000000000000000000e+01,2.947413524690176700e+02
-1.256281407035174880e+00,-1.000000000000000000e+01,2.903431600942174668e+02
-1.155778894472360818e+00,-1.000000000000000000e+01,2.889058551789875082e+02
-1.055276381909546757e+00,-1.000000000000000000e+01,2.963707123564108201e+02
-9.547738693467326954e-01,-1.000000000000000000e+01,2.715810015417020509e+02
-8.542713567839185229e-01,-1.000000000000000000e+01,2.802113569381265847e+02
-7.537688442211046835e-01,-1.000000000000000000e+01,2.855526115690277607e+02
-6.532663316582905111e-01,-1.000000000000000000e+01,2.771797385494151627e+02
-5.527638190954764497e-01,-1.000000000000000000e+01,2.883428055470999425e+02
-4.522613065326623882e-01,-1.000000000000000000e+01,2.712133062647801580e+02
-3.517587939698483268e-01,-1.000000000000000000e+01,2.740682389347808225e+02
-2.512562814070342654e-01,-1.000000000000000000e+01,3.009889790461675148e+02
-1.507537688442202040e-01,-1.000000000000000000e+01,2.852650219668133786e+02
-5.025125628140614253e-02,-1.000000000000000000e+01,2.732537413440073237e+02
5.025125628140791889e-02,-1.000000000000000000e+01,3.132153426428367311e+02
1.507537688442219803e-01,-1.000000000000000000e+01,2.466232387919236260e+02
2.512562814070360417e-01,-1.000000000000000000e+01,2.920617288535104308e+02
3.517587939698501032e-01,-1.000000000000000000e+01,2.879385797728598391e+02
4.522613065326641646e-01,-1.000000000000000000e+01,2.866886497829912059e+02
5.527638190954782260e-01,-1.000000000000000000e+01,2.877930548451479353e+02
6.532663316582922874e-01,-1.000000000000000000e+01,2.936348846059632933e+02
7.537688442211063489e-01,-1.000000000000000000e+01,2.993808524839823235e+02
8.542713567839205213e-01,-1.000000000000000000e+01,2.894748618708663912e+02
9.547738693467343607e-01,-1.000000000000000000e+01,2.942849383574709350e+02
1.055276381909548311e+00,-1.000000000000000000e+01,2.686196491574991683e+02
1.155778894472362373e+00,-1.000000000000000000e+01,2.831899448348219153e+02
1.256281407035176656e+00,-1.000000000000000000e+01,2.857692981360015665e+02
1.356783919597990717e+00,-1.000000000000000000e+01,2.999074123373277416e+02
1.457286432160804779e+00,-1.000000000000000000e+01,2.678573835573913584e+02
1.557788944723618840e+00,-1.000000000000000000e+01,2.750747581454875785e+02
1.658291457286432902e+00,-1.000000000000000000e+01,3.232612415977393994e+02
1.758793969849246741e+00,-1.000000000000000000e+01,2.869859226983963936e+02
1.859296482412060803e+00,-1.000000000000000000e+01,2.912077551374858331e+02
1.959798994974875308e+00,-1.000000000000000000e+01,3.065777378851209392e+02
2.060301507537689147e+00,-1.000000000000000000e+01,2.840092837611987306e+02
2.160804020100503209e+00,-1.000000000000000000e+01,2.876327508497842018e+02
2.261306532663317270e+00,-1.000000000000000000e+01,2.612541582483324873e+02
2.361809045226131332e+00,-1.000000000000000000e+01,3.031588429062715022e+02
2.462311557788945393e+00,-1.000000000000000000e+01,2.746000348096077914e+02
2.562814070351759010e+00,-1.000000000000000000e+01,3.005339758777199677e+02
2.663316582914573516e+00,-1.000000000000000000e+01,2.896462193935068399e+02
2.763819095477387577e+00,-1.000000000000000000e+01,3.275057287683673621e+02
2.864321608040201639e+00,-1.000000000000000000e+01,2.908718919702952803e+02
2.964824120603015700e+00,-1.000000000000000000e+01,3.321444966204016396e+02
3.065326633165829762e+00,-1.000000000000000000e+01,3.424391882130471458e+02
3.165829145728643823e+00,-1.000000000000000000e+01,3.259219914677604493e+02
3.266331658291457440e+00,-1.000000000000000000e+01,3.208469000944288609e+02
3.366834170854271946e+00,-1.000000000000000000e+01,3.266426612341040254e+02
3.467336683417086007e+00,-1.000000000000000000e+01,3.385556652085967926e+02
3.567839195979900069e+00,-1.000000000000000000e+01,3.030890571974358068e+02
3.668341708542714574e+00,-1.000000000000000000e+01,3.072563884211506888e+02
3.768844221105528192e+00,-1.000000000000000000e+01,3.537030832362202091e+02
3.869346733668342253e+00,-1.000000000000000000e+01,3.566803693253035590e+02
3.969849246231155870e+00,-1.000000000000000000e+01,3.594196890852346087e+02
4.070351758793970376e+00,-1.000000000000000000e+01,3.645826015811595653e+02
4.170854271356784437e+00,-1.000000000000000000e+01,3.896349765868665145e+02
4.271356783919598499e+00,-1.000000000000000000e+01,3.742804776177947019e+02
4.371859296482412560e+00,-1.000000000000000000e+01,3.744685071837552073e+02
4.472361809045226622e+00,-1.000000000000000000e+01,4.036242269935377749e+02
4.572864321608040683e+00,-1.000000000000000000e+01,4.199302780868859486e+02
4.673366834170854744e+00,-1.000000000000000000e+01,3.701457975985247799e+02
4.773869346733668806e+00,-1.000000000000000000e+01,3.561256521357786937e+02
4.874371859296482867e+00,-1.000000000000000000e+01,4.085452935008572126e+02
4.974874371859296929e+00,-1.000000000000000000e+01,3.539410112675373625e+02
5.075376884422110990e+00,-1.000000000000000000e+01,3.975545083265701010e+02
5.175879396984925052e+00,-1.000000000000000000e+01,4.017793888096231854e+02
5.276381909547739113e+00,-1.000000000000000000e+01,4.014273595380121264e+02
5.376884422110553174e+00,-1.000000000000000000e+01,3.894434243913409546e+02
5.477386934673367236e+00,-1.000000000000000000e+01,4.299706247546144482e+02
5.577889447236180409e+00,-1.000000000000000000e+01,4.056612735674227110e+02
5.678391959798995359e+00,-1.000000000000000000e+01,4.736704223588796481e+02
5.778894472361809420e+00,-1.000000000000000000e+01,4.238441260671389728e+02
5.879396984924623482e+00,-1.000000000000000000e+01,4.131514758936356202e+02
5.979899497487437543e+00,-1.000000000000000000e+01,4.253146926424901153e+02
6.080402010050253381e+00,-1.000000000000000000e+01,4.907124375053044218e+02
